sensor_temp,max_temp,voltage,current,label
299.3500061035156,300.3500061035156,3.861999988555908,2.2990000247955322,0.0
299.3492126464844,300.3500061035156,3.9609999656677246,2.319999933242798,0.0
299.44842529296875,300.45001220703125,3.9739999771118164,2.2880001068115234,0.0
299.34759521484375,300.3500061035156,3.9800000190734863,2.203000068664551,0.0
299.3468017578125,300.3500061035156,3.9860000610351562,2.2730000019073486,0.0
299.34600830078125,300.3500061035156,4.0,2.246000051498413,0.0
299.34521484375,300.3500061035156,4.002999782562256,2.302999973297119,0.0
299.44439697265625,300.45001220703125,4.01200008392334,2.3440001010894775,0.0
299.3435974121094,300.3500061035156,4.02400016784668,2.3329999446868896,0.0
299.3428039550781,300.3500061035156,4.0229997634887695,2.3420000076293945,0.0
299.3420104980469,300.3500061035156,4.031000137329102,2.3610000610351562,0.0
299.2411804199219,300.25,4.041999816894531,2.2869999408721924,0.0
299.4403991699219,300.45001220703125,4.047999858856201,2.36899995803833,0.0
299.2395935058594,300.25,4.051000118255615,2.321000099182129,0.0
299.2388000488281,300.25,4.065999984741211,2.321000099182129,0.0
299.1379699707031,300.1499938964844,4.056000232696533,2.2769999504089355,0.0
299.2371826171875,300.25,4.061999797821045,2.2780001163482666,0.0
299.23638916015625,300.25,4.073999881744385,2.2739999294281006,0.0
299.1355895996094,300.1499938964844,4.072999954223633,2.306999921798706,0.0
299.23480224609375,300.25,4.078999996185303,2.2730000019073486,0.0
299.2339782714844,300.25,4.080999851226807,2.2850000858306885,0.0
299.1331787109375,300.1499938964844,4.093999862670898,2.3589999675750732,0.0
299.13238525390625,300.1499938964844,4.09499979019165,2.263000011444092,0.0
299.2315979003906,300.25,4.107999801635742,2.2769999504089355,0.0
299.1307678222656,300.1499938964844,4.10699987411499,2.2139999866485596,0.0
299.02996826171875,300.04998779296875,4.11899995803833,2.3499999046325684,0.0
299.22918701171875,300.25,4.107999801635742,2.2909998893737793,0.0
299.2283935546875,300.25,4.13100004196167,2.2829999923706055,0.0
299.1275634765625,300.1499938964844,4.132999897003174,2.321000099182129,0.0
299.2267761230469,300.25,4.13100004196167,2.2669999599456787,0.0
299.32598876953125,300.3500061035156,4.139999866485596,2.3269999027252197,0.0
299.12518310546875,300.1499938964844,4.142000198364258,2.2929999828338623,0.0
299.1243591308594,300.1499938964844,4.142000198364258,2.2829999923706055,0.0
299.1235656738281,300.1499938964844,4.156000137329102,2.3310000896453857,0.0
299.1227722167969,300.1499938964844,4.1539998054504395,2.3389999866485596,0.0
299.1219787597656,300.1499938964844,4.159999847412109,2.315000057220459,0.0
299.02117919921875,300.04998779296875,4.169000148773193,2.3450000286102295,0.0
299.120361328125,300.1499938964844,4.171000003814697,2.302999973297119,0.0
299.11956787109375,300.1499938964844,4.166999816894531,2.2720000743865967,0.0
299.0187683105469,300.04998779296875,4.179999828338623,2.2899999618530273,0.0
299.0179748535156,300.04998779296875,4.175000190734863,2.257999897003174,0.0
299.01715087890625,300.04998779296875,4.171000003814697,2.311000108718872,0.0
299.1163635253906,300.1499938964844,4.183000087738037,2.259999990463257,0.0
299.01556396484375,300.04998779296875,4.178999900817871,2.196000099182129,0.0
299.1147766113281,300.1499938964844,4.188000202178955,2.305000066757202,0.0
299.11395263671875,300.1499938964844,4.206999778747559,2.309999942779541,0.0
299.2131652832031,300.25,4.196000099182129,2.3320000171661377,0.0
299.11236572265625,300.1499938964844,4.214000225067139,2.316999912261963,0.0
299.111572265625,300.1499938964844,4.209000110626221,2.249000072479248,0.0
299.1107482910156,300.1499938964844,4.193999767303467,2.2730000019073486,0.0
299.1099548339844,300.1499938964844,4.206999778747559,2.2720000743865967,0.0
299.0091552734375,300.04998779296875,4.209000110626221,2.265000104904175,0.0
299.1083679199219,300.1499938964844,4.2170000076293945,2.263000011444092,0.0
299.1075744628906,300.1499938964844,4.216000080108643,2.2869999408721924,0.0
299.10675048828125,300.1499938964844,4.236000061035156,2.3510000705718994,0.0
299.0059509277344,300.04998779296875,4.232999801635742,2.2699999809265137,0.0
299.10516357421875,300.1499938964844,4.236000061035156,2.2660000324249268,0.0
299.1043701171875,300.1499938964844,4.2210001945495605,2.2890000343322754,0.0
298.903564453125,299.95001220703125,4.235000133514404,2.2230000495910645,0.0
298.90277099609375,299.95001220703125,4.24399995803833,2.2850000858306885,0.0
299.1019592285156,300.1499938964844,4.254000186920166,2.319000005722046,0.0
299.1011657714844,300.1499938964844,4.255000114440918,2.316999912261963,0.0
299.100341796875,300.1499938964844,4.250999927520752,2.2809998989105225,0.0
299.09954833984375,300.1499938964844,4.24399995803833,2.3329999446868896,0.0
299.0987548828125,300.1499938964844,4.251999855041504,2.2929999828338623,0.0
298.9979553222656,300.04998779296875,4.26200008392334,2.2739999294281006,0.0
298.99713134765625,300.04998779296875,4.251999855041504,2.2709999084472656,0.0
298.996337890625,300.04998779296875,4.263999938964844,2.2909998893737793,0.0
298.99554443359375,300.04998779296875,4.247000217437744,2.328000068664551,0.0
298.9947509765625,300.04998779296875,4.260000228881836,2.2720000743865967,0.0
298.99395751953125,300.04998779296875,4.26200008392334,2.2829999923706055,0.0
298.9931335449219,300.04998779296875,4.270999908447266,2.259999990463257,0.0
298.9923400878906,300.04998779296875,4.281000137329102,2.302999973297119,0.0
298.8915710449219,299.95001220703125,4.2789998054504395,2.174999952316284,0.0
298.8907775878906,299.95001220703125,4.281000137329102,2.2720000743865967,0.0
298.88995361328125,299.95001220703125,4.2870001792907715,2.312999963760376,0.0
298.88916015625,299.95001220703125,4.284999847412109,2.2639999389648438,0.0
